text,flag
"['choot', 'k', 'bhoot']",1
"['choot', 'k', 'pakode']",1
"['choot', 'ka', 'paani']",1
"['choot', 'ka', 'pissu']",1
"['choot', 'ki', 'jhilli']",1
['chootia'],1
['chudpagal'],1
"['chut', 'ke', 'makkhan']",1
"['chut', 'marne', 'wala']",1
['chutiya'],1
['dalli'],1
"['gaand', 'maar', 'bhen', 'chod']",1
['gaandu'],1
"['gand', 'marne', 'wala']",1
"['gand', 'mein', 'louda']",1
"['gandi', 'fuddi', 'ki', 'gandi', 'auladd']",1
['goli'],1
"['haram', 'zaadaa']",1
['harami'],1
['jhaat'],1
"['kaala', 'lund']",1
"['kaali', 'kutti']",1
['kuthri'],1
['kutte'],1
"['kutte', 'ki', 'olad']",1
"['lavde', 'ka', 'baal']",1
['lodu'],1
"['lowde', 'ka', 'bal']",1
['lund'],1
"['lund', 'k', 'laddu']",1
"['lund', 'mera', 'muh', 'tera']",1
['maacho'],1
"['maal', 'chhodna']",1
"['mahder', 'chod']",1
"['mera', 'gota', 'moo', 'may', 'lay']",1
"['miye', 'ki', 'khala']",1
"['mome', 'ka', 'pasina', 'chat']",1
"['moo', 'may', 'lay', 'mera']",1
"['padosi', 'ke', 'calender']",1
"['padosi', 'ki', 'aulaad']",1
['pelhar'],1
"['rand', 'ki', 'moot']",1
"['randi', 'baj']",1
"['randi', 'ka', 'larka']",1
"['randi', 'ke', 'bacche']",1
"['randi', 'ke', 'beej']",1
"['saale', 'lm']",1
"['sab', 'ka', 'lund', 'teri', 'ma', 'ki', 'chut', 'mein']",1
['salasale'],1
['sardar'],1
"['sardar', 'fuda', 'singh']",1
"['sinak', 'se', 'paida', 'hua']",1
"['suvar', 'chod']",1
"['suwar', 'ki', 'aulad']",1
['tagad'],1
"['tera', 'gittha']",1
"['tere', 'maa', 'ka', 'bur']",1
"['teri', 'behen', 'ka', 'bhosda', 'faadu']",1
"['teri', 'gand', 'mai', 'ghadhe', 'ka', 'lund']",1
"['teri', 'ma', 'bahar', 'chud', 'rahi', 'he']",1
"['teri', 'ma', 'ko', 'kutta', 'chode']",1
"['teri', 'maa', 'ka', 'bhosra']",1
"['teri', 'maa', 'ka', 'boba', 'chusu']",1
"['teri', 'maa', 'ki', 'choot']",1
"['teri', 'maa', 'ki', 'choot', 'me', 'kutte', 'ka', 'lavda']",1
"['teri', 'maa', 'ki', 'chut']",1
"['teri', 'maa', 'ki', 'chute']",1
"['tuzya', 'aaichi', 'kanda', 'puchi']",1
"['you', 'madar', 'chod', 'benchod']",1
['6g'],1
['bhnchod'],1
['behenchod'],1
['bahinchod'],1
['bhnchd'],1
['benchod'],1
['bencho'],1
['behnchod'],1
['bc'],1
['mc'],1
['madrchod'],1
['mchod'],1
['mdrchd'],1
['choot'],1
['choot'],1
['choot'],1
['chodu'],1
['chodu'],1
['lodu'],1
['mkc'],1
"['ma', 'ki', 'chut']",1
['makichut'],1
['mkchut'],1
"['ma', 'ka', 'bhosda']",1
['makabhosda'],1
['mkb'],1
['tmkc'],1
"['teri', 'ma', 'ki', 'chut']",1
"['teri', 'ma', 'ki', 'chut']",1
"['teri', 'ma', 'ka', 'bhosda']",1
['jhatu'],1
['jhatoo'],1
['pkmkb'],1
['chini'],1
"['inki', 'pinki', 'ponki']",1
['bihari'],1
['dalit'],1
['chamar'],1
"['lund', 'ke', 'baal']",1
"['suar', 'ki', 'jhat']",1
['jhat'],1
['chut'],1
['bhosda'],1
['gandu'],1
['chutiye'],1
['bkl'],1
"['behen', 'ke', 'laude']",1
"['ben', 'ke', 'lode']",1
"['bhen', 'ke', 'lode']",1
"['behen', 'ke', 'lode']",1
['laude'],1
['randi'],1
"['randi', 'ki', 'aulad']",1
['randwa'],1
['chinaal'],1
['chinal'],1
"['kali', 'chut']",1
['maderchod'],1
['bhosadike'],1
['bsdk'],1
['bosdk'],1
['betichod'],1
"['beti', 'chod']",1
['bhadwe'],1
['bhadwa'],1
['bakland'],1
['baklund'],1
['hijra'],1
['hijde'],1
['hijda'],1
['chakka'],1
['chakki'],1
"['chut', 'ke', 'gulam']",1
"['choot', 'ka', 'baal']",1
"['bur', 'ke', 'baal']",1
"['bur', 'ke', 'bal']",1
['bkb'],1
"['choot', 'marani', 'ka']",1
['muth'],1
['muthhal'],1
['gandfat'],1
"['gand', 'fat', 'gyi', 'kya']",1
['rand'],1
['raand'],1
"['madherxhod', 'ki', 'aulad']",1
['bhenxhodi'],1
['xale'],1
['bhangi'],1
['madherxhod'],1
"['teri', 'ma', 'ki', 'kali', 'gaand', 'me', 'lund', 'maru']",1
"['behen', 'ke', 'lowde']",1
"['suwr', 'ke', 'bache']",1
"['teri', 'ma', 'ka', 'bhosda']",1
"['behenchoud', 'ke', 'bache']",1
"['randii', 'ke', 'dine']",1
"['betichoud', 'ki', 'auald']",1
"['sadi', 'gaand', 'vale', 'kute', 'ke', 'bache']",1
"['behenchoud', 'ke', 'dine']",1
"['teri', 'ma', 'ki', 'sadi', 'choot', 'me', 'lund', 'mar', 'ke', 'uska', 'bhosda', 'fadu']",1
"['choot', 'mari', 'ke']",1
"['chut', 'mari', 'ke']",1
['cmk'],1
['mamme'],1
['chuche'],1
['chuchi'],1
['bur'],1
"['gand', 'faad']",1
"['abe', 'meri', 'bat', 'sun', 'hizda', 'kii', 'aulad', 'teri', 'ma', 'ki', 'chut', 'meria', 'lund', 'bhosde', 'ka']",1
"['teri', 'maa', 'chodh', 'chodh', 'kr', 'tujhe', 'paida', 'kiya', 'h', 'or', 'aj', 'tu', 'apna', 'bap', 'se', 'panga', 'le', 'rha', 'h']",1
"['ruk', 'teri', 'gatate', 'maa', 'koo', 'chodhta', 'hu', 'yehi', 'pr', 'mada', 'chodh', 'bhosde', 'ka', 'kuuta', 'hizda', 'kii', 'paidaisdh', 'tu', 'taata', 'chatna', 'vala', 'kuutaa', 'ha', 'i', 'sala', 'rand', 'kii', 'paidaish', 'mada', 'chodh', 'teri', 'ma', 'kii', 'chut', 'mia', 'se', 'khoon', 'nikaldunga', 'yehi', 'pr', 'ruka', 'bhosde', 'ka', 'agr', 'thimmat', 'hai', 'tjhe', 'mai']",1
"['teri', 'ma', 'or', 'bhen', 'ko', 'mera', 'pas', 'bhej']",1
"['acha', 'paise', 'dilvadunga', 'ruk', 'ja', 'madachodh']",1
"['sala', 'gandu', 'apna', 'bap', 's', 'pange', 'le', 'rha', 'h']",1
['tatte'],1
"['muh', 'me', 'lele']",1
"['muh', 'me', 'lega']",1
"['chal', 'laude']",1
['bakchodi'],1
['bkchodi'],1
['bkchd'],1
"['bhn', 'k', 'lnd']",1
['sale'],1
['sala'],1
['aaj'],0
['kal'],0
['kya'],0
['kaise'],0
['kahan'],0
"['kya', 'ho', 'raha', 'hai']",0
['tum'],0
['main'],0
['hum'],0
"['kya', 'chal', 'raha', 'hai']",0
['yaar'],0
['bhai'],0
['behen'],0
['dost'],0
['acha'],0
"['thik', 'hai']",0
['haan'],0
['nahi'],0
['shukriya'],0
['pyaar'],0
['dosti'],0
['khushi'],0
['kitna'],0
['kaha'],0
"['kya', 'kar', 'rahe', 'ho']",0
"['samajh', 'gaya']",0
"['samajh', 'rahi', 'hoon']",0
"['kuch', 'nahi']",0
['thoda'],0
['bahut'],0
['aap'],0
['tumse'],0
['mere'],0
['tera'],0
['mera'],0
['abhi'],0
"['aaj', 'raat']",0
['subah'],0
['chalo'],0
"['kahan', 'jaa', 'rahe', 'ho']",0
['ghar'],0
['khaana'],0
['paani'],0
"['kitna', 'time']",0
"['jald', 'hi']",0
"['koi', 'baat', 'nahi']",0
['padhai'],0
['kaam'],0
"['kya', 'yaar']",0
"['milte', 'hain']",0
"['fir', 'milenge']",0
"['masti', 'karte', 'hain']",0
"['kaha', 'tha', 'na']",0
"['sab', 'theek', 'hai']",0
"['sab', 'kuch']",0
['badhiya'],0
"['kaisa', 'lag', 'raha', 'hai']",0
['dikkat'],0
"['koi', 'problem', 'nahi']",0
"['zyada', 'nahi']",0
"['aaj', 'ka', 'din']",0
"['kahan', 'jana', 'hai']",0
"['tumhare', 'saath']",0
"['pichle', 'hafte']",0
"['aaj', 'raat', 'ko']",0
"['chhup', 'jao']",0
"['aaj', 'ka', 'plan']",0
"['kuch', 'aur']",0
['bhi'],0
"['tension', 'mat', 'lo']",0
"['maza', 'aayega']",0
"['dekhte', 'hain']",0
"['sab', 'theek', 'ho', 'jaayega']",0
"['padhayi', 'chal', 'rahi', 'hai']",0
"['kya', 'tumne', 'dekha']",0
"['aaj', 'ka', 'kaam']",0
"['khana', 'khao']",0
['suno'],0
"['tum', 'kahan', 'ho']",0
"['mujhe', 'batao']",0
"['kahan', 'jaana', 'hai']",0
"['abhi', 'kuch', 'nahi']",0
"['bhool', 'gaya']",0
"['thodi', 'der']",0
"['ek', 'minute']",0
['jaldi'],0
"['tum', 'kya', 'kar', 'rahe', 'ho']",0
"['mujhe', 'laga']",0
"['thik', 'hai', 'na']",0
"['dekh', 'lo']",0
"['samajh', 'lo']",0
['jara'],0
"['kahan', 'ho']",0
"['aaj', 'ka', 'din', 'kaisa', 'tha']",0
"['milne', 'chalo']",0
"['kya', 'hua']",0
"['zindagi', 'hai']",0
"['waise', 'bhi']",0
"['kaafi', 'acha', 'hai']",0
"['abhi', 'jaa', 'rahe', 'ho']",0
"['tumhare', 'saath', 'chalna', 'hai']",0
"['kuch', 'khas', 'nahi']",0
['waise'],0
"['kuch', 'aur', 'karte', 'hain']",0
"['tumse', 'baat', 'karni', 'hai']",0
"['jaldi', 'karna']",0
"['aaj', 'kaafi', 'hai']",0
"['kahi', 'nahi']",0
"['milte', 'hain', 'phir']",0
"['sahi', 'hai']",0
"['aise', 'na']",0
"['kahan', 'the', 'tum']",0
"['aaj', 'kuch', 'nahi']",0
"['bada', 'maza', 'aaya']",0
"['milne', 'ka', 'intezaar', 'kar', 'raha', 'hoon']",0
"['aaj', 'kuch', 'plan', 'hai']",0
"['tumhare', 'saath', 'kya', 'karna', 'hai']",0
"['kuch', 'zyada', 'nahi']",0
"['bahut', 'aacha', 'laga']",0
"['abhi', 'batao']",0
['hamesha'],0
"['kahan', 'se']",0
"['abhi', 'tak']",0
"['aaj', 'ka', 'din', 'kaise', 'tha']",0
"['koi', 'bataye']",0
"['tumhe', 'pata', 'hai']",0
"['mere', 'saath', 'chalo']",0
"['ye', 'kya', 'hai']",0
"['tumne', 'suna']",0
"['ghar', 'ka', 'kya', 'scene', 'hai']",0
"['zindagi', 'ka', 'plan', 'kya', 'hai']",0
"['abhi', 'samajh', 'gaya']",0
"['bhool', 'gaya', 'tha']",0
"['tumne', 'kaha', 'tha']",0
"['jao', 'milte', 'hain']",0
"['koi', 'baat', 'nahi', 'yaar']",0
"['tumse', 'milke', 'acha', 'laga']",0
"['kya', 'chal', 'raha', 'hai', 'tumhare', 'saath']",0
"['kitna', 'time', 'hai']",0
"['jald', 'milenge']",0
"['bhi', 'bheja', 'tha']",0
"['tumne', 'ye', 'kiya']",0
"['zindagi', 'ki', 'yeh', 'baatein']",0
"['phir', 'milte', 'hain']",0
"['humein', 'jaana', 'hai']",0
"['kaha', 'jaana', 'hai', 'tumhe']",0
"['abhi', 'toh', 'sab', 'thik', 'hai']",0
"['koi', 'tension', 'nahi']",0
"['sab', 'kuch', 'thik', 'ho', 'jaayega']",0
"['aaj', 'ka', 'din', 'kaafi', 'tha']",0
"['tum', 'kahan', 'the']",0
"['kuch', 'na', 'kuch', 'to', 'ho', 'raha', 'hai']",0
"['aaj', 'kuch', 'alag', 'karte', 'hain']",0
"['tumne', 'dekha']",0
"['tum', 'kaha', 'ho']",0
"['sab', 'thik', 'ho', 'jaayega']",0
"['kuch', 'aur', 'karenge']",0
"['milte', 'hain', 'jaldi']",0
"['kya', 'yeh', 'sach', 'hai']",0
"['masti', 'karna', 'hai']",0
"['aaj', 'ka', 'kaam', 'khatam']",0
"['tumhare', 'saath', 'kuch', 'karte', 'hain']",0
"['doston', 'ke', 'saath']",0
"['milke', 'dekhte', 'hain']",0
"['tumhare', 'saath', 'milna', 'tha']",0
"['aaj', 'ka', 'plan', 'hai', 'kya']",0
"['tumhare', 'saath', 'kaafi', 'maza', 'aata', 'hai']",0
"['kuch', 'seekhna', 'hai']",0
"['milne', 'ka', 'time', 'hai']",0
"['tum', 'kaha', 'se', 'aaye']",0
"['yeh', 'kya', 'tha']",0
"['kaise', 'ho', 'tum']",0
"['mujhe', 'bataye']",0
"['kahan', 'tha', 'tu']",0
"['mujhe', 'pata', 'tha']",0
"['chalo', 'phir', 'milte', 'hain']",0
"['aaj', 'kuch', 'plan', 'karte', 'hain']",0
"['kahan', 'se', 'aaye', 'ho']",0
"['abhi', 'kaafi', 'hai']",0
"['tumhare', 'saath', 'hamesha']",0
"['bhi', 'dekhna']",0
"['kaha', 'chal', 'rahe', 'ho']",0
"['jaldi', 'milenge']",0
"['tumne', 'yeh', 'kaise', 'kiya']",0
"['jaldi', 'aao']",0
"['sab', 'kuch', 'theek', 'hai']",0
"['tum', 'kya', 'soch', 'rahe', 'ho']",0
"['kaise', 'lag', 'raha', 'hai']",0
"['tumhare', 'saath', 'bahut', 'maza', 'aata', 'hai']",0
"['tumhe', 'jaana', 'hai']",0
"['samajh', 'jao']",0
"['kaha', 'se', 'jaana', 'hai']",0
"['aaj', 'ka', 'din', 'kaisa', 'gaya']",0
"['tumhara', 'kaam', 'kaisa', 'chal', 'raha', 'hai']",0
"['kaam', 'kar', 'rahe', 'ho']",0
"['tumhare', 'saath', 'sab', 'theek', 'hai']",0
"['koi', 'bhi', 'baat', 'ho']",0
"['kya', 'karna', 'hai']",0
"['tum', 'kya', 'kar', 'rahe', 'ho', 'abhi']",0
"['kahan', 'ho', 'aaj']",0
"['kahan', 'tha', 'tu', 'kal']",0
"['dekhte', 'hain', 'phir']",0
"['tumse', 'baat', 'karna', 'hai']",0
"['milke', 'kaafi', 'acha', 'laga']",0
"['kya', 'hua', 'kal']",0
"['aaj', 'milenge']",0
"['tumne', 'dekha', 'kya']",0
"['kahan', 'jana', 'hai', 'tumhe']",0
"['aaj', 'kuch', 'khaas', 'hai']",0
"['tumse', 'milne', 'ka', 'intezaar', 'kar', 'raha', 'hoon']",0
"['phir', 'milenge']",0
"['kahan', 'jaana', 'tha']",0
"['tum', 'kitna', 'samajh', 'rahe', 'ho']",0
"['tumhare', 'saath', 'ho', 'toh']",0
"['samajh', 'gaye']",0
"['kitna', 'maza', 'aaya']",0
"['kahan', 'tha', 'kal']",0
"['zindagi', 'chal', 'rahi', 'hai']",0
"['tum', 'kahan', 'jaana', 'chahte', 'ho']",0
"['abhi', 'tak', 'nahi']",0
"['milne', 'ka', 'intezaar']",0
"['tumhare', 'saath', 'milke', 'maza', 'aata', 'hai']",0
"['chhupke', 'se']",0
"['tum', 'kaha', 'ja', 'rahe', 'ho']",0
"['tumhare', 'saath', 'baat', 'karna', 'hai']",0
