text,flag
behenchod,1
bahinchod,1
bhnchd,1
benchod,1
bencho,1
behnch0d,1
bc,1
mc,1
madrchod,1
mchod,1
mdrchd,1
choot,1
cho0t,1
ch00t,1
chodu ,1
ch0du,1
l0du,1
mkc,1
ma ki chut,1
makichut,1
mkchut,1
ma ka bhosda,1
makabhosda,1
mkb,1
tmkc,1
teri ma ki chut,1
teri ma k1 chut,1
teri ma ka bhosda,1
jhatu,1
jhatoo,1
pkmkb,1
chini ,1
inki pinki ponki,1
bihari,1
dalit,1
chamar,1
lund ke baal,1
suar ki jhat,1
jhat,1
chut,1
bhosda,1
gandu,1
chutiye,1
bkl,1
behen ke laude,1
ben ke lode,1
bhen ke lode,1
behen ke lode,1
laude,1
randi,1
randi ki aulad,1
randwa,1
chinaal,1
chinal,1
kali chut,1
maderchod,1
bhosadike,1
bsdk,1
bosdk,1
betichod,1
beti chod,1
bhadwe,1
bhadwa,1
bakland,1
baklund,1
hijra,1
hijde,1
hijda,1
chakka,1
chakki,1
chut ke gulam,1
choot ka baal,1
bur ke baal,1
bur ke bal,1
bkb,1
choot marani ka,1
muth,1
muthhal,1
gandfat,1
gand fat gyi kya,1
rand,1
raand,1
madh3rxhod ki aulad ,1
bh3nxhodi ,1
xal3 ,1
bhangi,1
madherxhod ,1
t3ri ma ki kali gaand m3 lund maru ,1
b3h3n k3 l0wd3 ,1
suwr k3 bach3 ,1
t3ri ma ka bh0sda ,1
b3h3nch0ud k3 bach3 ,1
randii k3 din3 ,1
b3tich0ud ki auald ,1
sadi gaand val3 kut3 k3 bach3 ,1
b3h3nch0ud k3 din3 ,1
t3ri ma ki sadi ch00t m3 lund mar k3 uska bh0sda fadu ,1
ch00t mari k3,1
chut mari ke,1
cmk,1
mamme,1
chuche,1
chuchi,1
bur,1
gand faad,1
abe meri bat sun hizda kii aulad teri maaa ki chut meria lund bhosde ka ,1
teri maa chodh chodh kr tujhe paida kiya h or aj tu apna bap se panga le rha h,1
ruk teri gatate maa koo chodhta hu yehi pr mada chodh bhosde ka kuuta hizda kii paidaisdh tu taata chatna vala kuutaa ha i sala rand kii paidaish mada chodh teri maaa kii chut mia se khoon nikaldunga yehi pr ruka bhosde ka agr thimmat hai tjhe mai,1
teri maaa or bhen ko mera pas bhej ,1
acha paise dilvadunga ruk ja madachodh,1
sala gandu apna bap s pange le rha h,1
tatte,1
muh me lele,1
muh me lega,1
chal laude,1
bakchodi,1
bkch0di,1
bkchd ,1
bhn k lnd ,1
sale,1
sala,1
Aaj,0
Kal,0
Kya,0
Kaise,0
Kahan,0
Kya ho raha hai,0
Tum,0
Main,0
Hum,0
Kya chal raha hai,0
Yaar,0
Bhai,0
Behen,0
Dost,0
Acha,0
Thik hai,0
Haan,0
Nahi,0
Shukriya,0
Pyaar,0
Dosti,0
Khushi,0
Kitna,0
Kaha,0
Kya kar rahe ho,0
Samajh gaya,0
Samajh rahi hoon,0
Kuch nahi,0
Thoda,0
Bahut,0
Aap,0
Tumse,0
Mere,0
Tera,0
Mera,0
Abhi,0
Aaj raat,0
Subah,0
Chalo,0
Kahan jaa rahe ho,0
Ghar,0
Khaana,0
Paani,0
Kitna time,0
Jald hi,0
Koi baat nahi,0
Padhai,0
Kaam,0
Kya yaar,0
Milte hain,0
Fir milenge,0
Masti karte hain,0
Kaha tha na,0
Sab theek hai,0
Sab kuch,0
Badhiya,0
Kaisa lag raha hai,0
Dikkat,0
Koi problem nahi,0
Zyada nahi,0
Aaj ka din,0
Kahan jana hai,0
Tumhare saath,0
Pichle hafte,0
Aaj raat ko,0
Chhup jao,0
Aaj ka plan,0
Kuch aur,0
Bhi,0
Tension mat lo,0
Maza aayega,0
Dekhte hain,0
Sab theek ho jaayega,0
Padhayi chal rahi hai,0
Kya tumne dekha,0
Aaj ka kaam,0
Khana khao,0
Suno,0
Tum kahan ho,0
Mujhe batao,0
Kahan jaana hai,0
Abhi kuch nahi,0
Bhool gaya,0
Thodi der,0
Ek minute,0
Jaldi,0
Tum kya kar rahe ho,0
Mujhe laga,0
Thik hai na,0
Dekh lo,0
Samajh lo,0
Jara,0
Kahan ho,0
Aaj ka din kaisa tha,0
Milne chalo,0
Kya hua,0
Zindagi hai,0
Waise bhi,0
Kaafi acha hai,0
Abhi jaa rahe ho,0
Tumhare saath chalna hai,0
Kuch khas nahi,0
Waise,0
Kuch aur karte hain,0
Tumse baat karni hai,0
Jaldi karna,0
Aaj kaafi hai,0
Kahi nahi,0
Milte hain phir,0
Sahi hai,0
Aise na,0
Kahan the tum,0
Aaj kuch nahi,0
Bada maza aaya,0
Milne ka intezaar kar raha hoon,0
Aaj kuch plan hai,0
Tumhare saath kya karna hai,0
Kuch zyada nahi,0
Bahut aacha laga,0
Abhi batao,0
Hamesha,0
Kahan se,0
Abhi tak,0
Aaj ka din kaise tha,0
Koi bataye,0
Tumhe pata hai,0
Mere saath chalo,0
Ye kya hai,0
Tumne suna,0
Ghar ka kya scene hai,0
Zindagi ka plan kya hai,0
Abhi samajh gaya,0
Bhool gaya tha,0
Tumne kaha tha,0
Jao milte hain,0
Koi baat nahi yaar,0
Tumse milke acha laga,0
Kya chal raha hai tumhare saath,0
Kitna time hai,0
Jald milenge,0
Bhi bheja tha,0
Tumne ye kiya,0
Zindagi ki yeh baatein,0
Phir milte hain,0
Humein jaana hai,0
Kaha jaana hai tumhe,0
Abhi toh sab thik hai,0
Koi tension nahi,0
Sab kuch thik ho jaayega,0
Aaj ka din kaafi tha,0
Tum kahan the,0
Kuch na kuch to ho raha hai,0
Aaj kuch alag karte hain,0
Tumne dekha,0
Tum kaha ho,0
Sab thik ho jaayega,0
Kuch aur karenge,0
Milte hain jaldi,0
Kya yeh sach hai,0
Masti karna hai,0
Aaj ka kaam khatam,0
Tumhare saath kuch karte hain,0
Doston ke saath,0
Milke dekhte hain,0
Tumhare saath milna tha,0
Aaj ka plan hai kya,0
Tumhare saath kaafi maza aata hai,0
Kuch seekhna hai,0
Milne ka time hai,0
Tum kaha se aaye,0
Yeh kya tha,0
Kaise ho tum,0
Mujhe bataye,0
Kahan tha tu,0
Mujhe pata tha,0
Chalo phir milte hain,0
Aaj kuch plan karte hain,0
Kahan se aaye ho,0
Abhi kaafi hai,0
Tumhare saath hamesha,0
Bhi dekhna,0
Kaha chal rahe ho,0
Jaldi milenge,0
Tumne yeh kaise kiya,0
Jaldi aao,0
Sab kuch theek hai,0
Tum kya soch rahe ho,0
Kaise lag raha hai,0
Tumhare saath bahut maza aata hai,0
Tumhe jaana hai,0
Samajh jao,0
Kaha se jaana hai,0
Aaj ka din kaisa gaya,0
Tumhara kaam kaisa chal raha hai,0
Kaam kar rahe ho,0
Tumhare saath sab theek hai,0
Koi bhi baat ho,0
Kya karna hai,0
Tum kya kar rahe ho abhi,0
Kahan ho aaj,0
Kahan tha tu kal,0
Dekhte hain phir,0
Tumse baat karna hai,0
Milke kaafi acha laga,0
Kya hua kal,0
Aaj milenge,0
Tumne dekha kya,0
Kahan jana hai tumhe,0
Aaj kuch khaas hai,0
Tumse milne ka intezaar kar raha hoon,0
Phir milenge,0
Kahan jaana tha,0
Tum kitna samajh rahe ho,0
Tumhare saath ho toh,0
Samajh gaye,0
Kitna maza aaya,0
Kahan tha kal,0
Zindagi chal rahi hai,0
Tum kahan jaana chahte ho,0
Abhi tak nahi,0
Milne ka intezaar,0
Tumhare saath milke maza aata hai,0
Chhupke se,0
Tum kaha ja rahe ho,0
Tumhare saath baat karna hai,0

